author,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,year_of_construction,living_meters,kitchen_meters,phone,district,street,underground,residential_complex
NF Group - ex-Knight Frank Russia,https://www.cian.ru/rent/flat/291111292/,Москва,rent,flat,5,5,4,275.0,700000,0,1907,-1.0,20.0,79163144006,Пресненский,Тверской бульвар,Тверская,
Apple Real Estate,https://www.cian.ru/rent/flat/292537186/,Москва,rent,flat,17,23,4,150.0,230000,0,2004,82.0,20.0,79197654832,Покровское-Стрешнево,Иваньковское шоссе,Щукинская,
Apple Real Estate,https://www.cian.ru/rent/flat/291998903/,Москва,rent,flat,17,22,4,175.0,330000,0,2008,108.0,20.0,79162826254,Донской,Вавилова,Ленинский проспект,
Apple Real Estate,https://www.cian.ru/rent/flat/289918405/,Москва,rent,flat,6,20,4,160.0,220000,0,2002,110.0,18.0,79858816613,Кунцево,Маршала Тимошенко,Молодёжная,
Apple Real Estate,https://www.cian.ru/rent/flat/290710606/,Москва,rent,flat,5,6,4,140.0,280000,0,1893,95.0,13.0,79031122905,Басманный,Маросейка,Китай-город,
Apple Real Estate,https://www.cian.ru/rent/flat/285909942/,Москва,rent,flat,3,14,4,157.0,230000,0,2004,85.0,15.0,79197654832,Мещанский,Протопоповский переулок,Проспект Мира,
Apple Real Estate,https://www.cian.ru/rent/flat/291377711/,Москва,rent,flat,3,12,4,176.0,450000,0,2003,106.0,20.0,79850608590,Тверской,1-й Тверской-Ямской переулок,Маяковская,
ID 17043,https://www.cian.ru/rent/flat/292586646/,Москва,rent,flat,9,17,4,156.0,145000,10,2001,90.0,13.0,79154389011,Кузьминки,Зеленодольская,Кузьминки,
Аврора Проперти,https://www.cian.ru/rent/flat/291582577/,Москва,rent,flat,4,5,4,190.0,1030357,0,1910,-1.0,10.0,79652530061,Хамовники,Большой Знаменский переулок,Кропоткинская,
Trust Realty,https://www.cian.ru/rent/flat/285978153/,Москва,rent,flat,3,14,4,170.0,230000,0,2004,-1.0,-1.0,79091687953,Мещанский,Протопоповский переулок,Проспект Мира,
Аврора Проперти,https://www.cian.ru/rent/flat/291266554/,Москва,rent,flat,11,17,4,213.6,550000,0,1998,-1.0,19.0,79652530061,Арбат,Новый Арбат,Смоленская,
Intermark Real Estate,https://www.cian.ru/rent/flat/292015792/,Москва,rent,flat,9,30,4,155.0,200000,0,2012,65.0,20.0,79660342340,Кунцево,Ярцевская,Крылатское,
Intermark Real Estate,https://www.cian.ru/rent/flat/290829355/,Москва,rent,flat,2,8,4,182.0,450000,0,2005,125.0,-1.0,79671298300,Хамовники,1-й Зачатьевский переулок,Кропоткинская,
ID 54294871,https://www.cian.ru/rent/flat/285651561/,Москва,rent,flat,16,17,4,235.0,190000,0,2012,-1.0,10.0,79150907594,Кунцево,Истринская,Молодёжная,
Whitewill Аренда,https://www.cian.ru/rent/flat/288804489/,Москва,rent,flat,14,14,4,220.0,1000000,0,2008,100.0,29.0,79670368780,Дорогомилово,Студенческая,Студенческая,
Intermark Real Estate,https://www.cian.ru/rent/flat/291381215/,Москва,rent,flat,3,12,4,176.0,450000,0,2003,106.0,20.0,79104158059,Тверской,1-й Тверской-Ямской переулок,Маяковская,
Whitewill Аренда,https://www.cian.ru/rent/flat/288374665/,Москва,rent,flat,3,6,4,150.0,500000,0,2009,100.0,10.0,79684728732,Тверской,Петровский бульвар,Трубная,
Whitewill Аренда,https://www.cian.ru/rent/flat/291008755/,Москва,rent,flat,32,50,4,181.0,450000,0,2006,117.0,15.0,79150691270,Хорошевский,Чапаевский переулок,Аэропорт,
Славянский Двор Остоженка,https://www.cian.ru/rent/flat/290709801/,Москва,rent,flat,5,11,4,185.0,400000,0,2002,97.0,25.0,79154331109,Тверской,Страстной бульвар,Пушкинская,
MERSI,https://www.cian.ru/rent/flat/286639166/,Москва,rent,flat,4,5,4,170.0,380000,0,1900,-1.0,-1.0,79104517991,Арбат,Гоголевский бульвар,Кропоткинская,
HOUSE MALL - Городская недвижимость,https://www.cian.ru/rent/flat/292246042/,Москва,rent,flat,23,38,4,157.0,250000,50,2015,-1.0,-1.0,79169862459,Ростокино,проспект Мира,Ростокино,
Intermark Real Estate,https://www.cian.ru/rent/flat/291971191/,Москва,rent,flat,17,22,4,173.0,330000,0,2008,112.0,14.0,79671298300,Донской,Вавилова,Ленинский проспект,
Apple Real Estate,https://www.cian.ru/rent/flat/290061718/,Москва,rent,flat,7,9,4,160.0,260000,0,2000,103.0,15.0,79150740989,Якиманка,Погорельский переулок,Полянка,
KAIF,https://www.cian.ru/rent/flat/292627058/,Москва,rent,flat,3,24,4,170.0,270000,75,2011,-1.0,-1.0,79161161880,Раменки,Ломоносовский проспект,Университет,
NF Group - ex-Knight Frank Russia,https://www.cian.ru/rent/flat/291956525/,Москва,rent,flat,55,62,4,296.0,1250000,0,2017,-1.0,30.0,79163144006,Пресненский,набережная Пресненская,Деловой центр,
BARNES International Realty,https://www.cian.ru/rent/flat/291407806/,Москва,rent,flat,19,22,4,100.0,199000,0,2005,-1.0,20.0,79660560600,Раменки,Минская,Раменки,
Whitewill Аренда,https://www.cian.ru/rent/flat/291633595/,Москва,rent,flat,7,9,4,160.0,280000,0,2000,102.0,16.0,79851518257,Якиманка,Погорельский переулок,Полянка,
Intermark Real Estate,https://www.cian.ru/rent/flat/291496309/,Москва,rent,flat,7,9,4,160.0,350000,0,-1,80.0,18.0,79169952310,Арбат,Малая Молчановка,Арбатская,
Apple Real Estate,https://www.cian.ru/rent/flat/283841539/,Москва,rent,flat,29,45,4,175.0,300000,0,2011,93.0,10.0,79850615034,Хорошево-Мневники,проспект Маршала Жукова,Деловой центр,
Intermark Real Estate,https://www.cian.ru/rent/flat/291164583/,Москва,rent,flat,13,25,4,140.0,210000,0,2002,74.0,17.0,79660313562,Ховрино,Лавочкина,Речной вокзал,
Intermark Real Estate,https://www.cian.ru/rent/flat/292148522/,Москва,rent,flat,5,10,4,220.0,400000,0,1997,121.0,18.0,79153175957,Якиманка,Малая Полянка,Полянка,
Trust Realty,https://www.cian.ru/rent/flat/292017333/,Москва,rent,flat,5,18,4,156.0,250000,0,1999,-1.0,-1.0,79645665217,Тверской,Краснопролетарская,Новослободская,
Intermark Real Estate,https://www.cian.ru/rent/flat/292242424/,Москва,rent,flat,7,8,4,103.0,170000,0,1934,64.0,13.0,79150744277,Басманный,Большой Златоустинский переулок,Китай-город,
Apple Real Estate,https://www.cian.ru/rent/flat/290870556/,Москва,rent,flat,5,6,4,174.3,220000,0,1914,102.0,20.0,79660399138,Тверской,Воротниковский переулок,Тверская,
Trust Realty,https://www.cian.ru/rent/flat/291746061/,Москва,rent,flat,3,4,4,167.0,300000,0,2001,-1.0,-1.0,79030193911,Мещанский,переулок Большой Головин,Трубная,
Trust Realty,https://www.cian.ru/rent/flat/284580322/,Москва,rent,flat,4,6,4,150.0,250000,0,2002,-1.0,-1.0,79154621285,Хамовники,Остоженка,Парк Культуры,
Trust Realty,https://www.cian.ru/rent/flat/288924517/,Москва,rent,flat,29,45,4,175.0,300000,0,2011,-1.0,-1.0,79154621285,Хорошево-Мневники,проспект Маршала Жукова,Октябрьское поле,
Apple Real Estate,https://www.cian.ru/rent/flat/286477024/,Москва,rent,flat,4,9,4,103.7,165000,0,1957,72.0,10.0,79154790627,Тимирязевский,Дмитровское шоссе,Тимирязевская,
MERSI,https://www.cian.ru/rent/flat/292536920/,Москва,rent,flat,14,57,4,166.0,350000,0,2006,-1.0,22.0,79175430681,Хорошевский,Чапаевский переулок,Аэропорт,
Intermark Real Estate,https://www.cian.ru/rent/flat/292160012/,Москва,rent,flat,7,9,4,160.0,280000,0,2000,101.0,15.0,79104158059,Якиманка,Погорельский переулок,Полянка,
MERSI,https://www.cian.ru/rent/flat/292536920/,Москва,rent,flat,14,57,4,166.0,350000,0,2006,-1.0,22.0,79175430681,Хорошевский,Чапаевский переулок,Аэропорт,
Trust Realty,https://www.cian.ru/rent/flat/292240655/,Москва,rent,flat,4,12,4,150.0,350000,0,2002,-1.0,-1.0,79660613065,Арбат,Малый Каковинский переулок,Кропоткинская,
Delight  Realty,https://www.cian.ru/rent/flat/288096913/,Москва,rent,flat,5,5,4,215.0,580000,0,2004,-1.0,70.0,79164423390,Арбат,переулок Плотников,Смоленская,
Liberty Estate,https://www.cian.ru/rent/flat/291917384/,Москва,rent,flat,15,17,4,115.0,130000,0,1998,-1.0,15.0,79660471735,Митино,Барышиха,Митино,
ДОМ.РФ Аренда,https://www.cian.ru/rent/flat/292632475/,Москва,rent,flat,23,24,4,92.9,139600,0,2020,62.0,7.0,79152317466,Даниловский,Автозаводская,Автозаводская,
Trust Realty,https://www.cian.ru/rent/flat/292322446/,Москва,rent,flat,5,6,4,174.3,220000,0,1914,-1.0,-1.0,79660613065,Тверской,Воротниковский переулок,Маяковская,
Trust Realty,https://www.cian.ru/rent/flat/292157680/,Москва,rent,flat,4,4,4,120.0,220000,0,1901,-1.0,-1.0,79660613065,Басманный,Покровка,Чистые пруды,
Trust Realty,https://www.cian.ru/rent/flat/292420944/,Москва,rent,flat,2,6,4,161.0,250000,0,1900,-1.0,-1.0,79091687953,Басманный,Чаплыгина,Чистые пруды,
Delight  Realty,https://www.cian.ru/rent/flat/292137656/,Москва,rent,flat,3,5,4,163.0,300000,0,2001,-1.0,16.0,79647821637,Мещанский,переулок Большой Головин,Сухаревская,
Trust Realty,https://www.cian.ru/rent/flat/291522247/,Москва,rent,flat,2,9,4,176.0,300000,0,2010,-1.0,-1.0,79646305210,Тверской,3-я Тверская-Ямская,Маяковская,
СТОЛИЦА Департамент недвижимости,https://www.cian.ru/rent/flat/289735033/,Москва,rent,flat,8,10,4,190.0,300000,0,-1,129.0,30.0,79651095872,Басманный,Подсосенский переулок,Курская,
Trust Realty,https://www.cian.ru/rent/flat/292295720/,Москва,rent,flat,6,17,4,182.0,330000,0,-1,-1.0,-1.0,79154621285,Раменки,Мосфильмовская,Ломоносовский проспект,
Delight  Realty,https://www.cian.ru/rent/flat/291584987/,Москва,rent,flat,4,13,4,156.0,350000,0,2002,-1.0,14.0,79175775024,Арбат,Малый Каковинский переулок,Смоленская,
Apple Real Estate,https://www.cian.ru/rent/flat/290932585/,Москва,rent,flat,4,6,4,173.0,350000,0,2001,99.0,18.0,79652359079,Пресненский,Скарятинский переулок,Баррикадная,
Whitewill Аренда,https://www.cian.ru/rent/flat/291585584/,Москва,rent,flat,25,25,4,180.0,400000,0,2003,120.0,15.0,79099986857,Аэропорт,Ленинградский проспект,Сокол,
Intermark Real Estate,https://www.cian.ru/rent/flat/290341703/,Москва,rent,flat,2,4,4,200.0,400000,0,1870,117.0,13.0,79168789151,Арбат,Арбат,Смоленская,
Whitewill Аренда,https://www.cian.ru/rent/flat/291790422/,Москва,rent,flat,4,10,4,112.0,500000,0,-1,76.0,17.0,79623615782,Тверской,Новослободская,Менделеевская,
Антон Маслов,https://www.cian.ru/rent/flat/292532246/,Москва,rent,flat,18,32,4,120.0,150000,10,2008,75.0,-1.0,79057167850,Аэропорт,Кочновский проезд,Гражданская,
Apple Real Estate,https://www.cian.ru/rent/flat/290384160/,Москва,rent,flat,5,15,4,157.0,190000,0,1997,103.0,15.0,79154790627,Пресненский,Зоологическая,Баррикадная,
Intermark Real Estate,https://www.cian.ru/rent/flat/291929299/,Москва,rent,flat,11,15,4,110.0,200000,0,2004,76.0,6.0,79660531236,Тропарево-Никулино,проспект Вернадского,Юго-Западная,
MERSI,https://www.cian.ru/rent/flat/292054585/,Москва,rent,flat,4,4,4,120.0,220000,0,1901,-1.0,-1.0,79104517991,Басманный,Покровка,Чистые пруды,
Whitewill Аренда,https://www.cian.ru/rent/flat/291419476/,Москва,rent,flat,5,6,4,174.0,240000,0,1914,141.0,20.0,79099986857,Тверской,Воротниковский переулок,Маяковская,
Chase R.E.S.,https://www.cian.ru/rent/flat/274707932/,Москва,rent,flat,4,6,4,150.0,250000,0,2002,95.0,12.0,79099981206,Хамовники,Остоженка,Парк Культуры,
Intermark Real Estate,https://www.cian.ru/rent/flat/291885972/,Москва,rent,flat,4,19,4,161.0,250000,0,1999,92.0,7.0,79168789151,Тверской,Краснопролетарская,Новослободская,
Chase R.E.S.,https://www.cian.ru/rent/flat/287666031/,Москва,rent,flat,3,7,4,186.0,300000,0,2010,110.0,20.0,79645643477,Тверской,3-я Тверская-Ямская,Маяковская,
Chase R.E.S.,https://www.cian.ru/rent/flat/291330397/,Москва,rent,flat,6,17,4,182.0,330000,0,-1,110.0,15.0,79652514083,Раменки,Мосфильмовская,Ломоносовский проспект,
Chase R.E.S.,https://www.cian.ru/rent/flat/273825375/,Москва,rent,flat,3,4,4,160.0,349000,0,1870,120.0,20.0,79652514083,Арбат,Арбат,Смоленская,
Whitewill Аренда,https://www.cian.ru/rent/flat/282555998/,Москва,rent,flat,3,4,4,180.0,350000,0,1870,118.0,15.0,79623615782,Арбат,Арбат,Смоленская,
Intermark Real Estate,https://www.cian.ru/rent/flat/289123353/,Москва,rent,flat,5,7,4,162.0,350000,0,1914,85.0,22.0,79153175957,Тверской,Тверская,Маяковская,
Whitewill Аренда,https://www.cian.ru/rent/flat/282555998/,Москва,rent,flat,3,4,4,180.0,350000,0,1870,118.0,15.0,79623615782,Арбат,Арбат,Смоленская,
Whitewill Аренда,https://www.cian.ru/rent/flat/279816682/,Москва,rent,flat,5,11,4,173.0,450000,0,2002,90.0,20.0,79651989679,Тверской,Страстной бульвар,Пушкинская,
Delight  Realty,https://www.cian.ru/rent/flat/279749906/,Москва,rent,flat,5,10,4,183.0,400000,0,2002,-1.0,20.0,79175419059,Тверской,Страстной бульвар,Чеховская,
Chase R.E.S.,https://www.cian.ru/rent/flat/273825375/,Москва,rent,flat,3,4,4,160.0,349000,0,1870,120.0,20.0,79652514083,Арбат,Арбат,Смоленская,
Chase R.E.S.,https://www.cian.ru/rent/flat/287666031/,Москва,rent,flat,3,7,4,186.0,300000,0,2010,110.0,20.0,79645643477,Тверской,3-я Тверская-Ямская,Маяковская,
Whitewill Аренда,https://www.cian.ru/rent/flat/291072420/,Москва,rent,flat,2,4,4,220.0,400000,0,1917,129.0,60.0,79854731277,Тверской,переулок Столешников,Пушкинская,
BRIGHT ESTATE - городская недвижимость,https://www.cian.ru/rent/flat/289870575/,Москва,rent,flat,14,30,4,183.0,250000,0,1999,-1.0,20.0,79851378721,Проспект Вернадского,Ленинский проспект,,
Apple Real Estate,https://www.cian.ru/rent/flat/290251487/,Москва,rent,flat,8,8,4,256.0,330000,0,1998,104.0,13.0,79652748619,Арбат,Кривоарбатский переулок,Смоленская,
Apple Real Estate,https://www.cian.ru/rent/flat/291414690/,Москва,rent,flat,3,4,4,167.0,300000,0,2001,63.0,45.0,79636229726,Мещанский,переулок Большой Головин,Цветной бульвар,
Apple Real Estate,https://www.cian.ru/rent/flat/286731885/,Москва,rent,flat,10,11,4,230.0,270000,0,1997,125.0,15.0,79652748619,Пресненский,Зоологическая,Баррикадная,
Whitewill Аренда,https://www.cian.ru/rent/flat/283437118/,Москва,rent,flat,2,5,4,120.0,230000,0,1906,77.0,8.0,79660610922,Пресненский,Большой Палашевский переулок,Тверская,
Вертикаль,https://www.cian.ru/rent/flat/292286380/,Москва,rent,flat,8,15,4,152.0,240000,0,2007,93.0,9.0,79857420268,Тропарево-Никулино,проспект Вернадского,Тропарёво,
Apple Real Estate,https://www.cian.ru/rent/flat/282548092/,Москва,rent,flat,2,5,4,250.0,300000,0,2002,120.0,15.0,79636229726,Покровское-Стрешнево,Береговая,Стрешнево,
Delight  Realty,https://www.cian.ru/rent/flat/285245099/,Москва,rent,flat,6,7,4,240.0,350000,0,1997,-1.0,25.0,79623657988,Раменки,Минская,,
Intermark Real Estate,https://www.cian.ru/rent/flat/292283684/,Москва,rent,flat,2,9,4,122.0,200000,0,1955,75.0,20.0,79660342340,Дорогомилово,Платовская,Киевская,
Chase R.E.S.,https://www.cian.ru/rent/flat/292243140/,Москва,rent,flat,10,19,4,159.0,400000,0,-1,86.0,32.0,79660585760,Гагаринский,Ленинский проспект,Ленинский проспект,
MERSI,https://www.cian.ru/rent/flat/291346919/,Москва,rent,flat,3,5,4,120.0,250000,0,1931,-1.0,-1.0,79652455850,Басманный,Чистопрудный бульвар,Чистые пруды,
Apple Real Estate,https://www.cian.ru/rent/flat/290458205/,Москва,rent,flat,20,20,4,223.0,470000,0,2017,145.0,20.0,79660399138,Обручевский,Ленинский проспект,Новаторская,
DOORS AGENCY,https://www.cian.ru/rent/flat/285290603/,Москва,rent,flat,8,50,4,150.0,200000,0,2004,86.0,18.0,79660479108,Раменки,Мосфильмовская,Ломоносовский проспект,
Apple Real Estate,https://www.cian.ru/rent/flat/283556630/,Москва,rent,flat,7,8,4,194.0,450000,0,1898,148.0,25.0,79154790627,Красносельский,Милютинский переулок,Лубянка,
Delight  Realty,https://www.cian.ru/rent/flat/292148609/,Москва,rent,flat,7,17,4,134.0,220000,0,1998,-1.0,8.0,79850562139,Арбат,Новый Арбат,Смоленская,
BRIGHT ESTATE - городская недвижимость,https://www.cian.ru/rent/flat/288355245/,Москва,rent,flat,6,7,4,240.0,350000,0,1997,-1.0,32.0,79851378721,Раменки,Минская,,
MERSI,https://www.cian.ru/rent/flat/283761740/,Москва,rent,flat,2,5,4,250.0,300000,0,2002,190.0,-1.0,79660621004,Покровское-Стрешнево,Береговая,Тушинская,
ЦАН,https://www.cian.ru/rent/flat/292572184/,Москва,rent,flat,18,33,4,83.0,110000,35,2022,50.0,23.0,79160824796,Кунцево,Академика Павлова,Молодёжная,
Apple Real Estate,https://www.cian.ru/rent/flat/291876043/,Москва,rent,flat,12,24,4,140.0,400000,0,2013,90.0,12.0,79162826254,Тверской,2-й Щемиловский переулок,Новослободская,
Apple Real Estate,https://www.cian.ru/rent/flat/292526215/,Москва,rent,flat,12,13,4,180.0,400000,0,2000,130.0,20.0,79852607280,Арбат,1-й Смоленский переулок,Смоленская,
Apple Real Estate,https://www.cian.ru/rent/flat/290714793/,Москва,rent,flat,8,39,4,150.0,200000,0,-1,98.0,18.0,79637684637,Раменки,Мосфильмовская,Ломоносовский проспект,
Capital Mars,https://www.cian.ru/rent/flat/292486424/,Москва,rent,flat,7,16,4,98.0,70000,50,1998,75.0,12.0,79660583511,Митино,Пятницкое шоссе,Волоколамская,
Александра Ивашкевич,https://www.cian.ru/rent/flat/271051254/,Москва,rent,flat,4,17,4,110.0,105000,30,2000,-1.0,13.0,79858824080,Северное Медведково,Широкая,Медведково,
ГОРОБМЕН,https://www.cian.ru/rent/flat/290193232/,Москва,rent,flat,2,4,4,113.7,150000,50,1907,72.0,20.0,79165526009,Хамовники,Сеченовский переулок,Парк Культуры,
ЦАН,https://www.cian.ru/rent/flat/291994296/,Москва,rent,flat,4,19,4,100.0,140000,50,2013,70.0,20.0,79031436953,Южнопортовый,Мельникова,Волгоградский проспект,
Whitewill Аренда,https://www.cian.ru/rent/flat/289510933/,Москва,rent,flat,8,12,4,250.0,1450000,0,2012,205.0,23.0,79660610922,Хамовники,2-я Фрунзенская,Фрунзенская,
Олеся Захарова,https://www.cian.ru/rent/flat/281194859/,Москва,rent,flat,5,8,4,150.0,135000,0,1940,-1.0,40.0,79623645435,Красносельский,Маши Порываевой,Красные ворота,
