author,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,year_of_construction,living_meters,kitchen_meters,phone,district,street,underground,residential_complex
Apple Real Estate,https://www.cian.ru/rent/flat/290746667/,Москва,rent,flat,2,5,4,120.0,230000,0,1906,78.0,8.0,79858816613,Пресненский,Большой Палашевский переулок,Тверская,
Trust Realty,https://www.cian.ru/rent/flat/289034616/,Москва,rent,flat,2,5,4,120.0,230000,0,1906,-1.0,-1.0,79645665217,Пресненский,Большой Палашевский переулок,Тверская,
ELECT.ESTATE,https://www.cian.ru/rent/flat/292107168/,Москва,rent,flat,7,17,4,90.0,360000,0,2014,-1.0,-1.0,79858674634,Хамовники,Ефремова,Фрунзенская,
Apple Real Estate,https://www.cian.ru/rent/flat/290460327/,Москва,rent,flat,14,16,4,166.0,350000,0,2006,96.0,21.0,79197654832,Хорошевский,Чапаевский переулок,Аэропорт,
Intermark Real Estate,https://www.cian.ru/rent/flat/291061930/,Москва,rent,flat,4,8,4,140.0,600000,0,2005,79.0,13.0,79672086536,Пресненский,Скатертный переулок,Арбатская,
Intermark Real Estate,https://www.cian.ru/rent/flat/292243438/,Москва,rent,flat,3,6,4,170.0,550000,0,2006,126.0,12.0,79623694457,Хамовники,переулок Коробейников,Парк Культуры,
BARNES International Realty,https://www.cian.ru/rent/flat/291360920/,Москва,rent,flat,14,57,4,166.0,350000,0,2006,-1.0,22.0,79168087053,Хорошевский,Чапаевский переулок,Сокол,
Apple Real Estate,https://www.cian.ru/rent/flat/291592333/,Москва,rent,flat,5,5,4,182.0,500000,0,1913,104.0,30.0,79858735371,Пресненский,Большой Патриарший переулок,Пушкинская,
BELFORT,https://www.cian.ru/rent/flat/292200651/,Москва,rent,flat,4,5,4,211.2,650000,0,1907,113.0,32.0,79652699110,Пресненский,Тверской бульвар,Пушкинская,
Delight  Realty,https://www.cian.ru/rent/flat/290828302/,Москва,rent,flat,5,5,4,182.0,500000,0,1913,-1.0,40.0,79850562139,Пресненский,Большой Патриарший переулок,Маяковская,
Intermark Real Estate,https://www.cian.ru/rent/flat/285383981/,Москва,rent,flat,5,5,4,183.0,500000,0,1913,104.0,30.0,79660342340,Пресненский,Большой Патриарший переулок,Пушкинская,
Apple Real Estate,https://www.cian.ru/rent/flat/292446125/,Москва,rent,flat,3,7,4,150.0,240000,0,2020,89.0,11.0,79652359079,Красносельский,переулок Даев,Сухаревская,
NF Group - ex-Knight Frank Russia,https://www.cian.ru/rent/flat/292083297/,Москва,rent,flat,4,8,4,140.0,600000,0,2005,-1.0,10.0,79163144006,Пресненский,Скатертный переулок,Арбатская,
CENTURY 21,https://www.cian.ru/rent/flat/291246830/,Москва,rent,flat,22,22,4,200.0,350000,50,2005,61.0,40.0,79852858526,Проспект Вернадского,Удальцова,Проспект Вернадского,
Apple Real Estate,https://www.cian.ru/rent/flat/291321041/,Москва,rent,flat,3,6,4,150.0,500000,0,2009,87.0,10.0,79652359079,Тверской,Петровский бульвар,Трубная,
NF Group - ex-Knight Frank Russia,https://www.cian.ru/rent/flat/291111286/,Москва,rent,flat,5,5,4,182.2,500000,0,1913,-1.0,25.0,79163144006,Пресненский,Большой Патриарший переулок,Баррикадная,
Apple Real Estate,https://www.cian.ru/rent/flat/287206040/,Москва,rent,flat,4,8,4,150.0,375000,0,2006,105.0,12.0,79057166993,Пресненский,Большой Палашевский переулок,Пушкинская,
Kalinka Group,https://www.cian.ru/rent/flat/291307566/,Москва,rent,flat,11,17,4,213.0,550000,0,1998,-1.0,-1.0,79854274454,Арбат,Новый Арбат,Смоленская,
Intermark Real Estate,https://www.cian.ru/rent/flat/291480016/,Москва,rent,flat,13,48,4,130.0,410000,0,2003,93.0,3.0,79623694457,Щукино,Авиационная,Щукинская,
Delight  Realty,https://www.cian.ru/rent/flat/289854695/,Москва,rent,flat,4,8,4,150.0,375000,0,2006,-1.0,8.0,79858906254,Пресненский,Большой Палашевский переулок,Пушкинская,
Trust Realty,https://www.cian.ru/rent/flat/292634027/,Москва,rent,flat,3,5,4,145.0,350000,0,1917,-1.0,-1.0,79030193911,Хамовники,Пожарский переулок,Кропоткинская,
Славянский Двор Остоженка,https://www.cian.ru/rent/flat/292488651/,Москва,rent,flat,4,10,4,165.0,470000,0,2009,130.0,20.0,79684767594,Басманный,Казарменный переулок,Курская,
Whitewill Москва-Сити,https://www.cian.ru/rent/flat/285021503/,Москва,rent,flat,55,67,4,296.0,1250000,0,2017,100.0,100.0,79850016320,Пресненский,набережная Пресненская,Деловой центр,
Apple Real Estate,https://www.cian.ru/rent/flat/286430695/,Москва,rent,flat,34,40,4,180.0,500000,0,2006,105.0,20.0,79652748619,Хорошевский,Чапаевский переулок,Аэропорт,
BARNES International Realty,https://www.cian.ru/rent/flat/290745818/,Москва,rent,flat,4,7,4,150.0,375000,0,2006,-1.0,10.0,79168080173,Пресненский,Большой Палашевский переулок,,
Apple Real Estate,https://www.cian.ru/rent/flat/278395991/,Москва,rent,flat,3,5,4,143.0,350000,0,1917,87.0,25.0,79858735371,Хамовники,Пожарский переулок,Кропоткинская,
Whitewill Аренда,https://www.cian.ru/rent/flat/288219876/,Москва,rent,flat,11,12,4,257.0,2000000,0,2006,174.0,20.0,79150691270,Раменки,Улофа Пальме,Минская,
Whitewill Аренда,https://www.cian.ru/rent/flat/283739406/,Москва,rent,flat,10,13,4,220.0,1300000,0,2013,72.0,15.0,79153059228,Арбат,Новый Арбат,Смоленская,
Whitewill Аренда,https://www.cian.ru/rent/flat/291010838/,Москва,rent,flat,3,7,4,178.0,1500000,0,2015,148.0,15.0,79851451472,Хамовники,Ефремова,Спортивная,
Whitewill Аренда,https://www.cian.ru/rent/flat/289510933/,Москва,rent,flat,8,12,4,250.0,1450000,0,2012,205.0,23.0,79660610922,Хамовники,2-я Фрунзенская,Фрунзенская,
Whitewill Аренда,https://www.cian.ru/rent/flat/286719045/,Москва,rent,flat,7,12,4,360.0,840000,0,2003,216.0,18.0,79660610922,Хамовники,1-й Неопалимовский переулок,Парк Культуры,
Whitewill Аренда,https://www.cian.ru/rent/flat/285383316/,Москва,rent,flat,3,4,4,150.0,350000,0,1917,93.0,25.0,79660610922,Хамовники,Пожарский переулок,Кропоткинская,
Whitewill Аренда,https://www.cian.ru/rent/flat/287923367/,Москва,rent,flat,5,10,4,190.0,390000,0,2002,103.0,20.0,79150691270,Тверской,Страстной бульвар,Пушкинская,
Whitewill Аренда,https://www.cian.ru/rent/flat/291008753/,Москва,rent,flat,34,40,4,180.0,500000,0,2006,117.0,8.0,79150691270,Хорошевский,Чапаевский переулок,Аэропорт,
Intermark Real Estate,https://www.cian.ru/rent/flat/291704096/,Москва,rent,flat,5,9,4,160.0,350000,0,2004,75.0,25.0,79169952310,Пресненский,Малый Козихинский переулок,Тверская,
Apple Real Estate,https://www.cian.ru/rent/flat/289285709/,Москва,rent,flat,9,10,4,160.0,450000,0,2002,97.0,14.0,79652748619,Тверской,Страстной бульвар,Пушкинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/291073056/,Москва,rent,flat,4,4,4,153.0,300000,0,1892,97.0,15.0,79104158059,Мещанский,Варсонофьевский переулок,Кузнецкий мост,
Intermark Real Estate,https://www.cian.ru/rent/flat/284369397/,Москва,rent,flat,1,4,4,220.0,350000,0,2003,134.0,20.0,79154371946,Крылатское,Островной проезд,Крылатское,
Trust Realty,https://www.cian.ru/rent/flat/291842020/,Москва,rent,flat,3,12,4,176.0,450000,0,2003,-1.0,-1.0,79057153295,Тверской,1-й Тверской-Ямской переулок,Маяковская,
Whitewill Аренда,https://www.cian.ru/rent/flat/292607768/,Москва,rent,flat,3,12,4,174.0,450000,0,2003,145.0,20.0,79099986857,Тверской,1-й Тверской-Ямской переулок,Маяковская,
Intermark Real Estate,https://www.cian.ru/rent/flat/289208879/,Москва,rent,flat,3,11,4,170.0,300000,0,2006,105.0,15.0,79169952310,Арбат,Композиторская,Смоленская,
Apple Real Estate,https://www.cian.ru/rent/flat/290577177/,Москва,rent,flat,6,11,4,109.0,350000,0,-1,83.0,12.0,79854415251,Раменки,Воробьевское шоссе,Киевская,
Apple Real Estate,https://www.cian.ru/rent/flat/290930188/,Москва,rent,flat,16,22,4,110.0,150000,50,2008,65.0,13.0,79100842814,Гагаринский,Вавилова,Академическая,
Apple Real Estate,https://www.cian.ru/rent/flat/291682008/,Москва,rent,flat,15,16,4,125.0,245000,0,2019,96.0,9.0,79854415251,Даниловский,Павелецкая набережная,Павелецкая,
