author,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,year_of_construction,living_meters,kitchen_meters,phone,district,street,underground,residential_complex
Apple Real Estate,https://www.cian.ru/rent/flat/285511632/,Москва,rent,flat,8,8,5,200.0,250000,0,1950,108.0,25.0,79057166993,Тверской,Тверская,Охотный ряд,
Apple Real Estate,https://www.cian.ru/rent/flat/283250702/,Москва,rent,flat,4,6,5,238.0,450000,0,2004,150.0,20.0,79652748619,Раменки,Косыгина,Воробьёвы горы,
Apple Real Estate,https://www.cian.ru/rent/flat/290314566/,Москва,rent,flat,4,35,5,300.0,270000,0,2004,128.0,25.0,79853182918,Обручевский,Воронцовские Пруды,Воронцовская,
Intermark Real Estate,https://www.cian.ru/rent/flat/286203147/,Москва,rent,flat,3,6,5,182.0,280000,0,1901,140.0,16.0,79623694457,Красносельский,Сретенский бульвар,Тургеневская,
Apple Real Estate,https://www.cian.ru/rent/flat/287966155/,Москва,rent,flat,16,44,5,260.0,300000,0,2003,174.0,20.0,79660399138,Фили-Давыдково,Давыдковская,Славянский бульвар,
МОСКВА СИТИ,https://www.cian.ru/rent/flat/283515241/,Москва,rent,flat,71,95,5,186.7,800000,0,2017,-1.0,-1.0,79660478201,Пресненский,набережная Пресненская,Деловой центр,
МОСКВА СИТИ,https://www.cian.ru/rent/flat/290144665/,Москва,rent,flat,55,95,5,330.0,750000,0,2017,330.0,-1.0,79855547948,Пресненский,набережная Пресненская,Деловой центр,
Delight  Realty,https://www.cian.ru/rent/flat/292491789/,Москва,rent,flat,2,16,5,204.0,550000,0,2000,-1.0,51.0,79645744066,Арбат,1-й Смоленский переулок,Смоленская,
Apple Real Estate,https://www.cian.ru/rent/flat/291880702/,Москва,rent,flat,10,11,5,333.0,690000,0,-1,238.0,19.0,79150740989,Тверской,Страстной бульвар,Пушкинская,
Apple Real Estate,https://www.cian.ru/rent/flat/292089361/,Москва,rent,flat,6,57,5,232.0,400000,0,2006,107.0,31.0,79197654832,Хорошевский,Чапаевский переулок,Сокол,
Delight  Realty,https://www.cian.ru/rent/flat/285023234/,Москва,rent,flat,2,7,5,155.0,300000,0,1917,-1.0,12.0,79858906254,Замоскворечье,Пятницкая,Третьяковская,
Apple Real Estate,https://www.cian.ru/rent/flat/292371805/,Москва,rent,flat,5,6,5,170.0,300000,0,2004,76.0,65.0,79852607280,Мещанский,Сретенка,Сретенский бульвар,
Trust Realty,https://www.cian.ru/rent/flat/291236622/,Москва,rent,flat,3,6,5,195.0,550000,0,1915,-1.0,-1.0,79660613065,Басманный,переулок Огородная Слобода,Чистые пруды,
Apple Real Estate,https://www.cian.ru/rent/flat/288509441/,Москва,rent,flat,3,6,5,210.0,300000,0,-1,115.0,15.0,79150740989,Басманный,Мясницкая,Тургеневская,
SC Realty,https://www.cian.ru/rent/flat/287525703/,Москва,rent,flat,22,23,5,180.0,180000,0,2004,115.0,20.0,79169653520,Покровское-Стрешнево,Иваньковское шоссе,Щукинская,
FS PROPERTY,https://www.cian.ru/rent/flat/291630386/,Москва,rent,flat,5,5,5,315.0,3382182,0,2014,-1.0,-1.0,79850531363,Хамовники,Нащокинский переулок,Кропоткинская,
Ашихмин и партнёры,https://www.cian.ru/rent/flat/292587672/,Москва,rent,flat,5,12,5,185.4,450000,0,2003,-1.0,-1.0,79645388125,Пресненский,Заморенова,Краснопресненская,
Apple Real Estate,https://www.cian.ru/rent/flat/283657000/,Москва,rent,flat,7,8,5,308.0,1500000,0,2004,200.0,10.0,79652748619,Пресненский,Большой Козихинский переулок,Маяковская,
Apple Real Estate,https://www.cian.ru/rent/flat/291104264/,Москва,rent,flat,9,12,5,175.0,260000,0,1953,93.0,15.0,79057166993,Таганский,Котельническая набережная,Китай-город,
Whitewill Аренда,https://www.cian.ru/rent/flat/292533943/,Москва,rent,flat,3,5,5,300.0,750000,0,2003,200.0,20.0,79150691270,Хамовники,7-й Ростовский переулок,Киевская,
Ашихмин и партнёры,https://www.cian.ru/rent/flat/292040154/,Москва,rent,flat,2,5,5,286.8,2575894,0,2003,-1.0,-1.0,79645388125,Хамовники,1-й Зачатьевский переулок,Кропоткинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/288170452/,Москва,rent,flat,4,6,5,225.0,550000,0,1914,118.0,28.0,79660342340,Хамовники,Староконюшенный переулок,Кропоткинская,
OXE CAPITAL - Элитная Недвижимость,https://www.cian.ru/rent/flat/285705396/,Москва,rent,flat,4,4,5,320.0,724753,0,1917,-1.0,-1.0,79660613121,Хамовники,Волхонка,Боровицкая,
Оксана Портнова,https://www.cian.ru/rent/flat/280886081/,Москва,rent,flat,5,8,5,226.0,385000,0,1998,-1.0,20.0,79031524921,Хамовники,Сеченовский переулок,Парк Культуры,
Apple Real Estate,https://www.cian.ru/rent/flat/288257593/,Москва,rent,flat,3,6,5,182.0,250000,0,1901,140.0,16.0,79858816613,Красносельский,Сретенский бульвар,Чистые пруды,
OXE CAPITAL - Элитная Недвижимость,https://www.cian.ru/rent/flat/288207791/,Москва,rent,flat,4,16,5,170.0,450000,0,2008,-1.0,-1.0,79660613121,Хамовники,Ружейный переулок,Смоленская,
Point Estate Город,https://www.cian.ru/rent/flat/292417483/,Москва,rent,flat,11,12,5,170.0,220000,0,1938,100.0,20.0,79652907757,Дорогомилово,набережная Тараса Шевченко,Киевская,
Apple Real Estate,https://www.cian.ru/rent/flat/291677619/,Москва,rent,flat,44,45,5,230.0,600000,0,2011,120.0,25.0,79652748619,Хорошево-Мневники,проспект Маршала Жукова,Народное Ополчение,
Penny Lane Realty,https://www.cian.ru/rent/flat/291307595/,Москва,rent,flat,4,6,5,170.0,220000,0,1914,130.0,15.0,79067957728,Тверской,Воротниковский переулок,Тверская,
Intermark Real Estate,https://www.cian.ru/rent/flat/286338304/,Москва,rent,flat,4,7,5,266.0,1000000,0,2007,149.0,10.0,79169952310,Якиманка,Лаврушинский переулок,Третьяковская,
Татьяна Серебрякова,https://www.cian.ru/rent/flat/291808298/,Москва,rent,flat,4,6,5,90.0,199999,0,2017,-1.0,12.0,79651491990,Даниловский,Автозаводская,ЗИЛ,
Intermark Real Estate,https://www.cian.ru/rent/flat/286433570/,Москва,rent,flat,5,5,5,192.0,1030357,0,1910,87.0,35.0,79104158059,Хамовники,Большой Знаменский переулок,Кропоткинская,
Apple Real Estate,https://www.cian.ru/rent/flat/289101837/,Москва,rent,flat,3,3,5,205.0,280000,0,1917,105.0,18.0,79855891007,Тверской,переулок Столешников,Театральная,
OXE CAPITAL - Элитная Недвижимость,https://www.cian.ru/rent/flat/269878583/,Москва,rent,flat,5,6,5,236.0,497000,0,2016,-1.0,-1.0,79099978986,Беговой,3-я Ямского Поля,Белорусская,
Intermark Real Estate,https://www.cian.ru/rent/flat/287570962/,Москва,rent,flat,6,7,5,265.0,500000,0,1912,176.0,16.0,79852436403,Арбат,Знаменка,Боровицкая,
NF Group - ex-Knight Frank Russia,https://www.cian.ru/rent/flat/291776657/,Москва,rent,flat,4,5,5,143.8,400000,0,1907,-1.0,20.0,79646308543,Пресненский,Спиридоновка,Баррикадная,
Apple Real Estate,https://www.cian.ru/rent/flat/286126479/,Москва,rent,flat,3,5,5,300.0,750000,0,2003,179.0,20.0,79652748619,Хамовники,7-й Ростовский переулок,Киевская,
Intermark Real Estate,https://www.cian.ru/rent/flat/277631677/,Москва,rent,flat,2,6,5,224.0,380000,0,2006,125.0,15.0,79660313562,Покровское-Стрешнево,Никольский тупик,Балтийская,
Apple Real Estate,https://www.cian.ru/rent/flat/291023892/,Москва,rent,flat,21,27,5,180.0,250000,0,2008,107.0,10.0,79637684637,Щукино,Авиационная,Щукинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/252954692/,Москва,rent,flat,4,31,5,300.0,270000,0,2004,128.0,40.0,79154371946,Обручевский,Воронцовские Пруды,Воронцовская,
Trust Realty,https://www.cian.ru/rent/flat/290939473/,Москва,rent,flat,7,7,5,200.0,400000,0,1963,-1.0,-1.0,79660613065,Пресненский,Леонтьевский переулок,Тверская,
Intermark Real Estate,https://www.cian.ru/rent/flat/287886237/,Москва,rent,flat,4,5,5,330.0,680000,0,1917,151.0,30.0,79168789151,Басманный,Жуковского,Чистые пруды,
Point Estate Город,https://www.cian.ru/rent/flat/224335709/,Москва,rent,flat,22,23,5,185.0,180000,0,2004,148.0,15.0,79660628891,Покровское-Стрешнево,Иваньковское шоссе,Щукинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/292461171/,Москва,rent,flat,2,7,5,156.0,350000,0,1917,105.0,15.0,79660531236,Замоскворечье,Пятницкая,Третьяковская,
Intermark Real Estate,https://www.cian.ru/rent/flat/280244942/,Москва,rent,flat,2,6,5,210.0,450000,0,2005,136.0,14.0,79169952310,Тверской,1-й Колобовский переулок,Трубная,
Славянский Двор Остоженка,https://www.cian.ru/rent/flat/243243376/,Москва,rent,flat,2,4,5,342.0,1000000,0,2003,250.0,20.0,79150425327,Крылатское,Островной проезд,Крылатское,
Intermark Real Estate,https://www.cian.ru/rent/flat/270470170/,Москва,rent,flat,3,5,5,172.0,250000,0,1996,115.0,16.0,79671298300,Мещанский,Цветной бульвар,Цветной бульвар,
Moscow Estate,https://www.cian.ru/rent/flat/288911854/,Москва,rent,flat,31,57,5,210.0,320000,0,2006,-1.0,-1.0,79850202858,Хорошевский,Чапаевский переулок,Аэропорт,
Intermark Real Estate,https://www.cian.ru/rent/flat/290003026/,Москва,rent,flat,3,6,5,240.0,380000,0,1917,144.0,7.0,79852436403,Басманный,переулок Гусятников,Чистые пруды,
BARNES International Realty,https://www.cian.ru/rent/flat/290745808/,Москва,rent,flat,11,13,5,250.0,300000,0,2003,-1.0,30.0,79660560600,Таганский,Таганская,Таганская,
Kalinka Group,https://www.cian.ru/rent/flat/166385186/,Москва,rent,flat,5,7,5,267.0,1100000,0,2007,-1.0,-1.0,79854274454,Якиманка,Лаврушинский переулок,Третьяковская,
OXE CAPITAL - Элитная Недвижимость,https://www.cian.ru/rent/flat/280995974/,Москва,rent,flat,5,5,5,250.0,650000,0,1907,-1.0,-1.0,79099978986,Пресненский,Тверской бульвар,Пушкинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/290300786/,Москва,rent,flat,3,6,5,210.0,300000,0,-1,110.0,15.0,79169952310,Басманный,Мясницкая,Тургеневская,
Apple Real Estate,https://www.cian.ru/rent/flat/288160896/,Москва,rent,flat,3,5,5,172.0,250000,0,1996,115.0,16.0,79855891007,Мещанский,Цветной бульвар,Цветной бульвар,
BARNES International Realty,https://www.cian.ru/rent/flat/290532763/,Москва,rent,flat,4,6,5,250.0,350000,0,2003,-1.0,20.0,79168080173,Покровское-Стрешнево,Береговая,,
NF Group - ex-Knight Frank Russia,https://www.cian.ru/rent/flat/291637202/,Москва,rent,flat,2,6,5,225.0,400000,0,2005,-1.0,20.0,79623639133,Покровское-Стрешнево,Береговая,Тушинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/285868061/,Москва,rent,flat,2,6,5,190.0,790000,0,2008,118.0,9.0,79150744277,Хамовники,переулок Хилков,Парк Культуры,
Apple Real Estate,https://www.cian.ru/rent/flat/277506019/,Москва,rent,flat,31,36,5,200.0,320000,0,2006,122.0,32.0,79652748619,Хорошевский,Чапаевский переулок,Аэропорт,
Penny Lane Realty,https://www.cian.ru/rent/flat/291575430/,Москва,rent,flat,2,13,5,220.0,500000,0,2000,125.0,15.0,79672012482,Арбат,1-й Смоленский переулок,Смоленская,
OXE CAPITAL - Элитная Недвижимость,https://www.cian.ru/rent/flat/286796882/,Москва,rent,flat,4,5,5,170.0,400000,0,1900,-1.0,-1.0,79858617257,Арбат,Гоголевский бульвар,Кропоткинская,
Penny Lane Realty,https://www.cian.ru/rent/flat/288667397/,Москва,rent,flat,29,30,5,300.0,550000,0,2003,279.0,16.0,79067957728,Проспект Вернадского,Ленинский проспект,Проспект Вернадского,
Славянка - офис Северо-Запад,https://www.cian.ru/rent/flat/285585749/,Москва,rent,flat,11,11,5,180.0,280000,0,2000,113.0,20.0,79853184029,Щукино,Расплетина,Октябрьское поле,
Trust Realty,https://www.cian.ru/rent/flat/285818309/,Москва,rent,flat,2,6,5,190.0,790000,0,2008,-1.0,-1.0,79645665217,Хамовники,переулок Хилков,Парк Культуры,
Apple Real Estate,https://www.cian.ru/rent/flat/284403583/,Москва,rent,flat,2,6,5,210.0,450000,0,2005,140.0,16.0,79150740989,Тверской,1-й Колобовский переулок,Трубная,
Penny Lane Realty,https://www.cian.ru/rent/flat/288666085/,Москва,rent,flat,11,15,5,230.0,300000,0,2003,148.0,24.0,79153034950,Таганский,Таганская,Марксистская,
OXE CAPITAL - Элитная Недвижимость,https://www.cian.ru/rent/flat/285790522/,Москва,rent,flat,2,6,5,190.0,790000,0,2008,-1.0,-1.0,79060430129,Хамовники,переулок Хилков,Парк Культуры,
Дарья Альская,https://www.cian.ru/rent/flat/292137377/,Москва,rent,flat,5,5,5,120.0,350000,30,1908,-1.0,-1.0,79099982832,Пресненский,Красина,Маяковская,
Moscow Real Estate,https://www.cian.ru/rent/flat/291078096/,Москва,rent,flat,7,14,5,160.0,170000,0,2002,-1.0,-1.0,79660626269,Очаково-Матвеевское,Нежинская,Давыдково,
ID 96109739,https://www.cian.ru/rent/flat/285337547/,Москва,rent,flat,3,6,5,230.0,500000,0,2001,180.0,35.0,79169714958,Пресненский,Скарятинский переулок,Баррикадная,
Trust Realty,https://www.cian.ru/rent/flat/292617395/,Москва,rent,flat,2,4,5,300.0,750000,0,2003,226.0,-1.0,79646305210,Хамовники,7-й Ростовский переулок,Киевская,
Whitewill Аренда,https://www.cian.ru/rent/flat/292638337/,Москва,rent,flat,2,14,5,204.0,500000,0,2000,122.0,10.0,79670368780,Арбат,1-й Смоленский переулок,Смоленская,
Вертикаль,https://www.cian.ru/rent/flat/292585029/,Москва,rent,flat,4,5,5,165.0,275000,0,1900,142.0,15.0,79104309877,Пресненский,Большая Никитская,Арбатская,
