author,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,year_of_construction,living_meters,kitchen_meters,phone,district,street,underground,residential_complex
Apple Real Estate,https://www.cian.ru/rent/flat/285750949/,Москва,rent,flat,4,5,5,170.0,380000,0,1900,104.0,20.0,79854415251,Арбат,Гоголевский бульвар,Кропоткинская,
Trust Realty,https://www.cian.ru/rent/flat/285705176/,Москва,rent,flat,4,6,5,170.0,380000,0,1900,-1.0,-1.0,79154621285,Арбат,Гоголевский бульвар,Кропоткинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/283357041/,Москва,rent,flat,31,57,5,210.0,320000,0,2006,126.0,32.0,79154371946,Хорошевский,Чапаевский переулок,Аэропорт,
BARNES International Realty,https://www.cian.ru/rent/flat/291161876/,Москва,rent,flat,3,5,5,200.0,550000,0,1915,-1.0,15.0,79168087053,Басманный,переулок Огородная Слобода,Чистые пруды,
Trust Realty,https://www.cian.ru/rent/flat/292014100/,Москва,rent,flat,6,57,5,230.0,400000,0,2006,-1.0,30.0,79646305210,Хорошевский,Чапаевский переулок,Аэропорт,
Intermark Real Estate,https://www.cian.ru/rent/flat/291971199/,Москва,rent,flat,3,7,5,201.0,550000,0,1915,121.0,15.0,79660531236,Басманный,переулок Огородная Слобода,Чистые пруды,
BARNES International Realty,https://www.cian.ru/rent/flat/291208112/,Москва,rent,flat,6,12,5,323.0,550000,0,2006,-1.0,20.0,79168080439,Хорошевский,Чапаевский переулок,,
Liberty Estate,https://www.cian.ru/rent/flat/292596261/,Москва,rent,flat,19,19,5,210.0,800000,0,2018,170.0,25.0,79623652345,Донской,Вавилова,Ленинский проспект,
Intermark Real Estate,https://www.cian.ru/rent/flat/283974290/,Москва,rent,flat,8,9,5,176.0,550000,0,2007,78.0,22.0,79672086536,Якиманка,1-й Спасоналивковский переулок,Полянка,
Intermark Real Estate,https://www.cian.ru/rent/flat/272737348/,Москва,rent,flat,7,14,5,252.0,600000,0,2003,130.0,10.0,79150744277,Хамовники,2-я Фрунзенская,Фрунзенская,
NF Group - ex-Knight Frank Russia,https://www.cian.ru/rent/flat/291869393/,Москва,rent,flat,4,5,5,170.0,380000,0,1900,109.0,10.0,79163144006,Арбат,Гоголевский бульвар,Кропоткинская,
Whitewill Аренда,https://www.cian.ru/rent/flat/288920810/,Москва,rent,flat,11,13,5,507.0,2500000,0,1955,400.0,40.0,79099986857,Дорогомилово,Кутузовский проспект,Киевская,
Whitewill Аренда,https://www.cian.ru/rent/flat/285636122/,Москва,rent,flat,4,5,5,170.0,380000,0,1900,112.0,10.0,79660610922,Арбат,Гоголевский бульвар,Кропоткинская,
WELHOME,https://www.cian.ru/rent/flat/291693687/,Москва,rent,flat,1,3,5,325.0,650000,0,2005,-1.0,40.0,79660625373,Раменки,Минская,,
Trust Realty,https://www.cian.ru/rent/flat/292206778/,Москва,rent,flat,3,13,5,165.0,1350000,0,2014,132.0,-1.0,79154621285,Хамовники,Трубецкая,Фрунзенская,
Trust Realty,https://www.cian.ru/rent/flat/291744153/,Москва,rent,flat,3,7,5,280.0,500000,0,2002,-1.0,-1.0,79645665217,Хамовники,Остоженка,Парк Культуры,
Apple Real Estate,https://www.cian.ru/rent/flat/291997185/,Москва,rent,flat,20,20,5,299.0,720000,0,-1,140.0,41.0,79652359079,Якиманка,Шаболовка,Шаболовская,
Intermark Real Estate,https://www.cian.ru/rent/flat/292267995/,Москва,rent,flat,3,7,5,280.0,500000,0,2002,145.0,35.0,79153175957,Хамовники,Остоженка,Парк Культуры,
Whitewill Аренда,https://www.cian.ru/rent/flat/292000583/,Москва,rent,flat,3,16,5,166.0,1350000,0,2014,92.0,12.0,79163239945,Хамовники,Трубецкая,Фрунзенская,
Apple Real Estate,https://www.cian.ru/rent/flat/289240571/,Москва,rent,flat,4,6,5,235.0,350000,0,2003,130.0,18.0,79197654832,Покровское-Стрешнево,Береговая,Стрешнево,
Trust Realty,https://www.cian.ru/rent/flat/292114569/,Москва,rent,flat,20,20,5,299.0,720000,0,2006,140.0,20.0,79660613065,Якиманка,Шаболовка,Шаболовская,
Apple Real Estate,https://www.cian.ru/rent/flat/286590497/,Москва,rent,flat,2,6,5,190.0,790000,0,2008,116.0,12.0,79150690202,Хамовники,переулок Хилков,Парк Культуры,
MERSI,https://www.cian.ru/rent/flat/286468127/,Москва,rent,flat,4,5,5,170.0,380000,0,1900,-1.0,-1.0,79104517991,Арбат,Гоголевский бульвар,Кропоткинская,
Trust Realty,https://www.cian.ru/rent/flat/289817757/,Москва,rent,flat,4,6,5,250.0,350000,0,2003,-1.0,-1.0,79660613065,Покровское-Стрешнево,Береговая,Стрешнево,
Intermark Real Estate,https://www.cian.ru/rent/flat/292541913/,Москва,rent,flat,4,4,5,177.0,370000,0,1910,122.0,20.0,79104158059,Арбат,Большой Афанасьевский переулок,Арбатская,
Whitewill Аренда,https://www.cian.ru/rent/flat/286337946/,Москва,rent,flat,2,5,5,190.0,790000,0,2008,118.0,9.0,79660610922,Хамовники,переулок Хилков,Парк Культуры,
Monumental Group,https://www.cian.ru/rent/flat/292187164/,Москва,rent,flat,2,6,5,282.0,350000,0,1910,-1.0,20.0,79856337734,Хамовники,2-й Обыденский переулок,Кропоткинская,
NF Group - ex-Knight Frank Russia,https://www.cian.ru/rent/flat/291284569/,Москва,rent,flat,3,5,5,195.1,550000,0,1915,-1.0,15.0,79163144006,Басманный,переулок Огородная Слобода,Чистые пруды,
Whitewill Аренда,https://www.cian.ru/rent/flat/292306505/,Москва,rent,flat,5,6,5,175.0,330000,0,2014,100.0,20.0,79150691270,Алексеевский,проспект Мира,Алексеевская,
Intermark Real Estate,https://www.cian.ru/rent/flat/278972733/,Москва,rent,flat,6,18,5,410.0,440000,0,2005,286.0,41.0,79153175957,Ломоносовский,Архитектора Власова,Профсоюзная,
Apple Real Estate,https://www.cian.ru/rent/flat/291009396/,Москва,rent,flat,7,7,5,200.0,400000,0,1963,130.0,17.0,79850608590,Пресненский,Леонтьевский переулок,Тверская,
Intermark Real Estate,https://www.cian.ru/rent/flat/291652163/,Москва,rent,flat,4,4,5,196.0,400000,0,-1,131.0,15.0,79150744277,Гагаринский,Андреевская набережная,Ленинский проспект,
Apple Real Estate,https://www.cian.ru/rent/flat/292375133/,Москва,rent,flat,2,8,5,225.0,350000,0,2005,127.0,20.0,79660399138,Покровское-Стрешнево,Береговая,Стрешнево,
Delight  Realty,https://www.cian.ru/rent/flat/284572665/,Москва,rent,flat,2,9,5,160.0,550000,0,2001,-1.0,25.0,79850562139,Арбат,Трубниковский переулок,Баррикадная,
Whitewill Аренда,https://www.cian.ru/rent/flat/291877577/,Москва,rent,flat,44,48,5,240.0,600000,0,2011,130.0,25.0,79623615782,Хорошево-Мневники,проспект Маршала Жукова,Октябрьское поле,
Trust Realty,https://www.cian.ru/rent/flat/291236623/,Москва,rent,flat,2,13,5,215.0,500000,0,2000,-1.0,-1.0,79057153295,Арбат,1-й Смоленский переулок,Смоленская,
Whitewill Аренда,https://www.cian.ru/rent/flat/290251606/,Москва,rent,flat,7,7,5,200.0,400000,0,1963,130.0,25.0,79851518257,Пресненский,Леонтьевский переулок,Тверская,
Delight  Realty,https://www.cian.ru/rent/flat/288335020/,Москва,rent,flat,8,9,5,190.0,700000,0,2006,-1.0,40.0,79150030846,Замоскворечье,Бахрушина,Павелецкая,
Trust Realty,https://www.cian.ru/rent/flat/292608470/,Москва,rent,flat,5,5,5,220.0,450000,0,1917,-1.0,-1.0,79154621285,Басманный,Кривоколенный переулок,Тургеневская,
Intermark Real Estate,https://www.cian.ru/rent/flat/286013199/,Москва,rent,flat,4,4,5,318.0,724753,0,-1,219.0,20.0,79150744277,Хамовники,Ленивка,Кропоткинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/291704097/,Москва,rent,flat,13,16,5,280.0,450000,0,2001,203.0,10.0,79164759134,Зюзино,Каховка,Зюзино,
Intermark Real Estate,https://www.cian.ru/rent/flat/290072498/,Москва,rent,flat,5,7,5,180.0,390000,0,1996,95.0,22.0,79670324166,Красносельский,Верхняя Красносельская,Красносельская,
Intermark Real Estate,https://www.cian.ru/rent/flat/286521173/,Москва,rent,flat,8,9,5,196.0,700000,0,2006,112.0,10.0,79671298300,Замоскворечье,Бахрушина,Павелецкая,
Intermark Real Estate,https://www.cian.ru/rent/flat/290060017/,Москва,rent,flat,2,13,5,204.0,500000,0,2000,122.0,10.0,79104158059,Арбат,1-й Смоленский переулок,Смоленская,
Chase R.E.S.,https://www.cian.ru/rent/flat/278338256/,Москва,rent,flat,13,30,5,272.0,470000,0,2009,180.0,30.0,79645643477,Щукино,Авиационная,Щукинская,
Эльмира Эмирова,https://www.cian.ru/rent/flat/291697314/,Москва,rent,flat,21,34,5,178.0,250000,0,2008,145.0,8.0,79660593967,Щукино,Авиационная,,
Trust Realty,https://www.cian.ru/rent/flat/289445327/,Москва,rent,flat,1,50,5,193.0,900000,0,2006,-1.0,-1.0,79091687953,Хорошевский,Чапаевский переулок,Сокол,
Intermark Real Estate,https://www.cian.ru/rent/flat/291604814/,Москва,rent,flat,13,22,5,185.0,250000,0,2006,114.0,11.0,79660313562,Хорошевский,Авиаконструктора Микояна,ЦСКА,
Apple Real Estate,https://www.cian.ru/rent/flat/290044775/,Москва,rent,flat,2,14,5,204.0,500000,0,2000,132.0,8.0,79197654832,Арбат,1-й Смоленский переулок,Смоленская,
Whitewill Аренда,https://www.cian.ru/rent/flat/292254376/,Москва,rent,flat,20,20,5,299.0,720000,0,-1,145.0,41.0,79150691270,Якиманка,Шаболовка,Шаболовская,
Delight  Realty,https://www.cian.ru/rent/flat/287081560/,Москва,rent,flat,4,7,5,266.0,1000000,0,2007,-1.0,10.0,79164423390,Якиманка,Лаврушинский переулок,Третьяковская,
Apple Real Estate,https://www.cian.ru/rent/flat/287909533/,Москва,rent,flat,11,11,5,180.0,280000,0,2000,122.0,30.0,79637684637,Щукино,Расплетина,Октябрьское поле,
Apple Real Estate,https://www.cian.ru/rent/flat/292140209/,Москва,rent,flat,4,4,5,170.0,370000,0,1910,123.0,15.0,79150740989,Арбат,Большой Афанасьевский переулок,Арбатская,
Delight  Realty,https://www.cian.ru/rent/flat/284539887/,Москва,rent,flat,20,21,5,299.0,720000,0,2006,-1.0,40.0,79647821637,Якиманка,Шаболовка,Шаболовская,
Apple Real Estate,https://www.cian.ru/rent/flat/288923434/,Москва,rent,flat,7,7,5,192.0,325000,0,1913,149.0,22.0,79031122905,Арбат,Малая Молчановка,Арбатская,
АЛЬФА,https://www.cian.ru/rent/flat/292245547/,Москва,rent,flat,5,6,5,180.0,310000,0,2014,130.0,22.0,79857298808,Алексеевский,проспект Мира,Алексеевская,
Intermark Real Estate,https://www.cian.ru/rent/flat/291652168/,Москва,rent,flat,4,7,5,185.0,350000,0,1912,133.0,12.0,79660482649,Якиманка,Лаврушинский переулок,Третьяковская,
Chase R.E.S.,https://www.cian.ru/rent/flat/286081058/,Москва,rent,flat,4,16,5,150.0,215000,0,2006,94.0,13.0,79652514083,Раменки,Пырьева,Ломоносовский проспект,
Kalinka Group,https://www.cian.ru/rent/flat/269266518/,Москва,rent,flat,2,7,5,105.0,250000,0,1929,-1.0,-1.0,79854274454,Хамовники,Пречистенка,Парк Культуры,
Trust Realty,https://www.cian.ru/rent/flat/288432939/,Москва,rent,flat,2,6,5,282.0,350000,0,1910,-1.0,-1.0,79645665217,Хамовники,2-й Обыденский переулок,Кропоткинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/287544581/,Москва,rent,flat,11,11,5,180.0,280000,0,2000,113.0,10.0,79672086536,Щукино,Расплетина,Октябрьское поле,
Стоун Бридж эстейт,https://www.cian.ru/rent/flat/292189388/,Москва,rent,flat,6,57,5,230.0,400000,0,2006,-1.0,30.0,79858705821,Хорошевский,Чапаевский переулок,Аэропорт,
Сергей Пунько,https://www.cian.ru/rent/flat/289806435/,Москва,rent,flat,9,10,5,333.0,690000,0,2002,240.0,18.0,79858268185,Тверской,Страстной бульвар,Пушкинская,
Whitewill Аренда,https://www.cian.ru/rent/flat/267185368/,Москва,rent,flat,6,18,5,402.0,450000,0,2005,258.0,41.0,79099986857,Ломоносовский,Архитектора Власова,Профсоюзная,
Apple Real Estate,https://www.cian.ru/rent/flat/292577309/,Москва,rent,flat,4,5,5,164.0,275000,0,1900,142.0,15.0,79855891007,Пресненский,Большая Никитская,Арбатская,
Apple Real Estate,https://www.cian.ru/rent/flat/288089032/,Москва,rent,flat,3,4,5,163.0,200000,0,1914,112.0,20.0,79855891007,Арбат,Малый Каковинский переулок,Смоленская,
Trust Realty,https://www.cian.ru/rent/flat/292463379/,Москва,rent,flat,11,14,5,165.0,220000,0,1938,-1.0,-1.0,79646305210,Дорогомилово,набережная Тараса Шевченко,Киевская,
Apple Real Estate,https://www.cian.ru/rent/flat/284354118/,Москва,rent,flat,11,12,5,208.0,200000,0,1996,154.0,28.0,79651036338,Теплый Стан,Островитянова,Тропарёво,
Apple Real Estate,https://www.cian.ru/rent/flat/291320885/,Москва,rent,flat,5,5,5,220.0,450000,0,1917,150.0,10.0,79057166993,Басманный,Кривоколенный переулок,Чистые пруды,
Intermark Real Estate,https://www.cian.ru/rent/flat/290630504/,Москва,rent,flat,4,7,5,167.0,350000,0,1912,119.0,10.0,79660342340,Пресненский,Малая Бронная,Маяковская,
Apple Real Estate,https://www.cian.ru/rent/flat/289466647/,Москва,rent,flat,5,5,5,192.0,1030000,0,1910,122.0,35.0,79652359079,Хамовники,Большой Знаменский переулок,Кропоткинская,
Intermark Real Estate,https://www.cian.ru/rent/flat/290507447/,Москва,rent,flat,4,4,5,180.0,300000,0,1892,112.0,20.0,79104158059,Мещанский,Варсонофьевский переулок,Кузнецкий мост,
